currency_pair,volume_24h,Last_price,Change_24h,High_24h,Low_24h
SLR/BTC,0.02 BTC,0.00000142 BTC,3.65%,0.00000145 BTC,0.00000135 BTC
TX/BTC,0.02 BTC,0.00000045 BTC,-2.17%,0.00000049 BTC,0.00000044 BTC
EOSDAC/BTC,0.02 BTC,0.00000013 BTC,0%,0.00000014 BTC,0.00000013 BTC
eETT/BTC,0.01 BTC,0.00000043 BTC,0%,0.00000043 BTC,0.00000042 BTC
SC/BTC,0.01 BTC,0.00000037 BTC,5.71%,0.00000037 BTC,0.00000035 BTC
GOLOS/BTC,0.01 BTC,0.00000015 BTC,0%,0.00000015 BTC,0.00000014 BTC
CND/BTC,0.01 BTC,0.00000080 BTC,9.59%,0.00000115 BTC,0.00000073 BTC
GB/BTC,0.01 BTC,0.00000012 BTC,0%,0.00000012 BTC,0.00000012 BTC
CDX/BTC,0.01 BTC,0.00000013 BTC,18.18%,0.00000013 BTC,0.00000011 BTC
MOIN/BTC,0.01 BTC,0.00000044 BTC,0%,0.00000044 BTC,0.00000044 BTC
STO/BTC,0.01 BTC,0.00000203 BTC,6.84%,0.00000203 BTC,0.0000019 BTC
BEZ/BTC,0.01 BTC,0.00000032 BTC,0%,0.00000032 BTC,0.00000032 BTC
BNODE/BTC,0.01 BTC,0.00000601 BTC,-3.06%,0.00000745 BTC,0.00000601 BTC
VMR/BTC,0.01 BTC,0.00004539 BTC,0.49%,0.00004539 BTC,0.00004517 BTC
ENG/BTC,0.00 BTC,0.00002267 BTC,-18.72%,0.00002789 BTC,0.00002267 BTC
RISE/BTC,0.00 BTC,0.00000073 BTC,4.29%,0.00000083 BTC,0.0000007 BTC
UNUS/BTC,0.00 BTC,0.00015000 BTC,24.99%,0.00015 BTC,0.00010662 BTC
ITCM/BTC,0.00 BTC,0.00000189 BTC,0.53%,0.00000189 BTC,0.00000188 BTC
PIPL/BTC,0.00 BTC,0.00000016 BTC,0%,0.00000016 BTC,0.00000016 BTC
EXM/BTC,0.00 BTC,0.00000026 BTC,-7.14%,0.00000028 BTC,0.00000026 BTC
AET/BTC,0.00 BTC,0.00000182 BTC,1.11%,0.00000182 BTC,0.0000018 BTC
ERO/BTC,0.00 BTC,0.00000003 BTC,0%,0.00000003 BTC,0.00000003 BTC
BTT/BTC,0.00 BTC,0.00000005 BTC,0%,0.00000005 BTC,0.00000005 BTC
KTETH/BTC,0.00 BTC,0.00000628 BTC,-7.37%,0.00000678 BTC,0.00000628 BTC
BARIN/BTC,0.00 BTC,0.00068756 BTC,0%,0.00068756 BTC,0.00068756 BTC
DYN/BTC,0.00 BTC,0.00000565 BTC,7.62%,0.00000565 BTC,0.000005 BTC
VTHO/BTC,0.00 BTC,0.00000010 BTC,0%,0.0000001 BTC,0.0000001 BTC
ZERT/BTC,0.00 BTC,0.00001998 BTC,21.61%,0.00001998 BTC,0.00001643 BTC
ARDR/BTC,0.00 BTC,0.00000563 BTC,0.18%,0.00000563 BTC,0.00000562 BTC
SXP/BTC,0.00 BTC,0.00007800 BTC,16.42%,0.000078 BTC,0.000067 BTC
HT/BTC,0.00 BTC,0.00045576 BTC,0.01%,0.00045576 BTC,0.00045573 BTC
SCIFI/BTC,0.00 BTC,0.00000004 BTC,0%,0.00000004 BTC,0.00000004 BTC
BUK2/BTC,0.00 BTC,0.00000007 BTC,-12.5%,0.00000008 BTC,0.00000007 BTC
KED/BTC,0.00 BTC,0.00000010 BTC,0%,0.0000001 BTC,0.0000001 BTC
POST/BTC,0.00 BTC,0.00000012 BTC,0%,0.00000012 BTC,0.00000012 BTC
ATOM/BTC,0.00 BTC,0.00039348 BTC,0%,0.00039348 BTC,0.00039348 BTC
GOLD/BTC,0.00 BTC,0.00075529 BTC,0%,0 BTC,0 BTC
BTC/USDC,0.00 BTC,8 950.02000010 USDC,0%,0 USDC,0 USDC
CNB/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
JBT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BIP/BTC,0.00 BTC,0.00015419 BTC,0%,0 BTC,0 BTC
ALLBI/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PTI/BTC,0.00 BTC,0.00000018 BTC,0%,0 BTC,0 BTC
GOAL/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ASAFE2/BTC,0.00 BTC,0.00000320 BTC,0%,0 BTC,0 BTC
ATX/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
CASH/BTC,0.00 BTC,0.00000006 BTC,0%,0 BTC,0 BTC
BPC/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
GIN/BTC,0.00 BTC,0.00000016 BTC,0%,0 BTC,0 BTC
CAPS/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
FXT/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
IFAN/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DIBC/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
STS/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
AMG/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ALGO/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
PLN/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ALLBIH/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ZILA/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MKT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ATM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
JOY/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ACN/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
GYC/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
ETCA/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
GEX/BTC,0.00 BTC,0.00000017 BTC,0%,0 BTC,0 BTC
CENNZ/BTC,0.00 BTC,0.00000702 BTC,0%,0 BTC,0 BTC
DOV/BTC,0.00 BTC,0.00000019 BTC,0%,0 BTC,0 BTC
RBM/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
XMS/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MSCN/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
EKT/BTC,0.00 BTC,0.00000079 BTC,0%,0 BTC,0 BTC
ORE/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ICEBT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
YO/BTC,0.00 BTC,0.10130001 BTC,0%,0 BTC,0 BTC
W3C/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
XAP/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
WIC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PUP/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
NAVY/BTC,0.00 BTC,0.00000012 BTC,0%,0 BTC,0 BTC
BTC/EURS,0.00 BTC,1 234.00000000 EURS,0%,0 EURS,0 EURS
BTC/EURN,0.00 BTC,19 845.00000000 EURN,0%,0 EURN,0 EURN
FU/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
XAC/BTC,0.00 BTC,0.00014000 BTC,0%,0 BTC,0 BTC
BVK/BTC,0.00 BTC,0.00000054 BTC,0%,0 BTC,0 BTC
SHARK/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
OXY/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
HOT/BTC,0.00 BTC,0.00000007 BTC,0%,0 BTC,0 BTC
BTC/TUSD,0.00 BTC,9 333.00000000 TUSD,0%,0 TUSD,0 TUSD
FNC/BTC,0.00 BTC,0.00000018 BTC,0%,0 BTC,0 BTC
INST/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PMS/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
CARB/BTC,0.00 BTC,0.00000009 BTC,0%,0 BTC,0 BTC
KICK/BTC,0.00 BTC,0.00000006 BTC,0%,0 BTC,0 BTC
BTC/PAX,0.00 BTC,8 898.00000000 PAX,0%,0 PAX,0 PAX
IQ/BTC,0.00 BTC,0.00000019 BTC,0%,0 BTC,0 BTC
GES/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PAN/BTC,0.00 BTC,0.00001073 BTC,0%,0 BTC,0 BTC
FCT/BTC,0.00 BTC,0.00015687 BTC,0%,0 BTC,0 BTC
ETER/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
CTX/BTC,0.00 BTC,0.00000007 BTC,0%,0 BTC,0 BTC
UNRC/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
FTT/BTC,0.00 BTC,0.00028036 BTC,0%,0 BTC,0 BTC
HELI/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
WABI/BTC,0.00 BTC,0.00000910 BTC,0%,0 BTC,0 BTC
NSRT/BTC,0.00 BTC,0.00061148 BTC,0%,0 BTC,0 BTC
ECIO/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
UTK/BTC,0.00 BTC,0.00000521 BTC,0%,0 BTC,0 BTC
DPS/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SONIQ/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
SPD/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PLA/BTC,0.00 BTC,0.00000446 BTC,0%,0 BTC,0 BTC
AMB/BTC,0.00 BTC,0.00000154 BTC,0%,0 BTC,0 BTC
TOR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SPF/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
MXM3/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
GPL2/BTC,0.00 BTC,0.00000723 BTC,0%,0 BTC,0 BTC
ESP/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SOAR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
RHOC/BTC,0.00 BTC,0.00000163 BTC,0%,0 BTC,0 BTC
WBCC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
CTDM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
CTF/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PAS/BTC,0.00 BTC,0.00192502 BTC,0%,0 BTC,0 BTC
HST/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BIO/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SIG/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
VMT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SMA/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
OTON/BTC,0.00 BTC,0.00000254 BTC,0%,0 BTC,0 BTC
RTB/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
XBT/BTC,0.00 BTC,0.00000015 BTC,0%,0 BTC,0 BTC
DIME/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SHPING/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
GRX/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
ZBC/BTC,0.00 BTC,0.00000016 BTC,0%,0 BTC,0 BTC
XRC/BTC,0.00 BTC,0.00000010 BTC,0%,0 BTC,0 BTC
MQM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DENT/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
GIFT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BTCH/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
XSCR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ABT/BTC,0.00 BTC,0.00001133 BTC,0%,0 BTC,0 BTC
VLTC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BTG/BTC,0.00 BTC,0.00098040 BTC,0%,0 BTC,0 BTC
MYCT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ROCKET/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SNB/BTC,0.00 BTC,0.00001400 BTC,0%,0 BTC,0 BTC
UNC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BID/BTC,0.00 BTC,0.00042587 BTC,0%,0 BTC,0 BTC
ECOT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
OCN/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
WIN/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
TCT/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
PUT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
onLEXpa/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DIG/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MIN/BTC,0.00 BTC,0.00014243 BTC,0%,0 BTC,0 BTC
INS/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
MAD/BTC,0.00 BTC,0.00000120 BTC,0%,0 BTC,0 BTC
CSE/BTC,0.00 BTC,0.00000440 BTC,0%,0 BTC,0 BTC
BLD/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
YVM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MOF/BTC,0.00 BTC,0.00002604 BTC,0%,0 BTC,0 BTC
LKE/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
KNZV/BTC,0.00 BTC,0.00013501 BTC,0%,0 BTC,0 BTC
ZB/BTC,0.00 BTC,0.00002457 BTC,0%,0 BTC,0 BTC
TEL/BTC,0.00 BTC,0.00000004 BTC,0%,0 BTC,0 BTC
HNR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
VIU/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SNBL/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
IEX/BTC,0.00 BTC,0.00000110 BTC,0%,0 BTC,0 BTC
LibraF/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MEETONE/BTC,0.00 BTC,0.00000011 BTC,0%,0 BTC,0 BTC
NPXS/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
ZAY/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
CBR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
QBT/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
CPT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
VOISE/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DXR/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
APOD/BTC,0.00 BTC,0.00000021 BTC,0%,0 BTC,0 BTC
ATF/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
CLPC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SOF/BTC,0.00 BTC,0.00000018 BTC,0%,0 BTC,0 BTC
CBC/BTC,0.00 BTC,0.00000061 BTC,0%,0 BTC,0 BTC
SPA/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
TPX/BTC,0.00 BTC,0.00399996 BTC,0%,0 BTC,0 BTC
TCF/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
GUIDE/BTC,0.00 BTC,0.00000524 BTC,0%,0 BTC,0 BTC
YOD/BTC,0.00 BTC,0.00009600 BTC,0%,0 BTC,0 BTC
TIB/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BTSMD/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
REP/BTC,0.00 BTC,0.00201623 BTC,0%,0 BTC,0 BTC
SPT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DGX/BTC,0.00 BTC,0.00580001 BTC,0%,0 BTC,0 BTC
CREVA/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
GST/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
CPP/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
NAM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PISH/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ANNE/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
DMC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PANDA/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
CVN/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
XLAB/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SEC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
TVT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BCD/BTC,0.00 BTC,0.00008945 BTC,0%,0 BTC,0 BTC
ROBO/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
BSHORT/BTC,0.00 BTC,0.00091080 BTC,0%,0 BTC,0 BTC
